epoch,train_loss,val_auc,val_ece,val_brier,val_acc
1,1.1832370191295434,0.7636157948865131,0.20381081007455704,0.2456447184085846,0.6927056389032592
2,0.5726696065098722,0.7775439260220777,0.19175672734640942,0.23681561648845673,0.697465080186239
3,0.47174388203458734,0.775607419535094,0.165830067709759,0.2219773530960083,0.7154681841696844
4,0.4286821962190499,0.7843381145892447,0.16494991519077418,0.21902114152908325,0.7162959130884635
5,0.41568898900574575,0.8027514507926361,0.15934150811155656,0.21447138488292694,0.7198137609932747
6,0.3949818311834231,0.7971085686454847,0.154269876497987,0.21259382367134094,0.7202276254526643
7,0.38261738199824974,0.8079787833127864,0.16987578127585232,0.21612760424613953,0.7160889808587687
8,0.3770353844127997,0.8094274886339174,0.14640323170342723,0.20307955145835876,0.7371960682876358
9,0.3716460844476812,0.8012568245416062,0.1481852019382029,0.20614124834537506,0.7307811691670978
10,0.37945254800046546,0.8109275071153523,0.21994600473015158,0.2436208873987198,0.6909467149508536
11,0.3622023969234632,0.7946657795577936,0.1541163911735586,0.2110854685306549,0.7269529229177445
12,0.36308718968791054,0.7968510244150626,0.20862443847663648,0.24234068393707275,0.6906363166063114
13,0.3777674910002545,0.8018819971255933,0.16780405087416736,0.21686714887619019,0.7195033626487325
14,0.36869130970540576,0.8005190674050544,0.16699015663438554,0.21927288174629211,0.7156751163993792
15,0.3709989049037982,0.7988409531202096,0.16920649775771726,0.21819129586219788,0.7168132436627005
16,0.35250588668621397,0.8026336914383123,0.17058474313577596,0.21619512140750885,0.7208484221417486
17,0.35237584438636826,0.8075169866129183,0.15844065644120653,0.20804624259471893,0.7311950336264873
18,0.3546820543859658,0.8028331822204248,0.20841848422564563,0.23882153630256653,0.6964304190377651
19,0.3649196838964118,0.7900049791159786,0.16983746973979802,0.21881555020809174,0.7210553543714433
20,0.37553987441960934,0.8080035266926275,0.2788428302385989,0.2847300171852112,0.6511122607346094
21,0.3917922193211248,0.8042092663740078,0.1590278433708101,0.2075747698545456,0.7340920848422142
22,0.3510801254155156,0.79751128998241,0.18603000137945314,0.22835305333137512,0.7068804966373513
23,0.36130748907683924,0.7939793573244102,0.1812213433433307,0.22441504895687103,0.7183652353854113
24,0.37311336088766794,0.7975206176712957,0.1737883078530855,0.21630045771598816,0.7244697361614071
25,0.35834804576497703,0.7999613629297205,0.15961205828115846,0.2097913920879364,0.7291257113295396
26,0.37193106270502124,0.8011584163367187,0.1691301863688727,0.215761199593544,0.7257113295395757
27,0.35352025746710203,0.7975383163630276,0.16836566025274627,0.21487967669963837,0.7274702534919814
28,0.35045814794273905,0.7976903424718593,0.19104952806644468,0.22370672225952148,0.7244697361614071
29,0.3679206650414358,0.7962355274057935,0.18463559422971543,0.22296518087387085,0.7239524055871702
30,0.3524853258547695,0.7952065898273835,0.1943418992718945,0.2314864844083786,0.706259699948267
